Column1;Column2;Column3;Column4;Column5;Column6
PROJECT INFORMATION;;;;;
Date;April 21 2026;;;;
Prepared by;Magenta Naidoo;;;;
For;Alison Kannigan;;;;
Project;Rosebank Dialer then furthering to all the dialer systems;;;;
Estimated Timeline;1-2 business days;;;;
Priority;High - Security Critical;;;;
;;;;;
;;;;;
OBJECTIVES;;;;;
No;Objective;Description;;;
1;Harden production security;Block debug/test endpoints;;;
2;Strengthen authentication security;Improved lockout mechanisms;;;
3;Enhance user experience;Better visual feedback during login;;;
4;Fix critical bugs;User creation and API reliability;;;
5;Establish security baseline;Documentation for ongoing compliance;;;
;;;;;
;;;;;
SECURITY ENHANCEMENTS;;;;;
No;Enhancement;Description;Current State;New State;Benefit
1;Production Security Baseline;Create comprehensive security guidelines document;No documentation;SECURITY_BASELINE_ALL_PLATFORMS.md;Establishes clear security standards
2;Block Debug/Test Endpoints;Prevent access to 17 internal endpoints in production;Accessible in all environments;404 in production;Prevents unauthorized access to sensitive tools
3A;Enhanced Account Lockout;Reduce failed login attempts threshold;5 attempts / 15 min lockout;3 attempts / 10 min lockout;Reduces brute-force attack window
3B;Admin Security Notifications;Email admins when account locked;No notifications;Automatic email notifications;Immediate visibility into security incidents
3C;Rate Limiting Optimization;Adjust rate limits for better UX;5 requests per 5 min;30 requests per 5 min;Balances security with user experience
4;CORS Security Hardening;Implement strict CORS policies;Wildcard (*) allowed;Strict origin validation;Prevents unauthorized domain access
5;Strong Password Policy;Enforce password complexity requirements;Min 6 characters;Min 12 chars + complexity;Significantly reduces password cracking risk
6;Email Normalization;Convert all emails to lowercase;Case-sensitive duplicates possible;All lowercase normalized;Prevents duplicate accounts
7;SMTP Security Hardening;Enforce TLS certificate validation;Self-signed certs allowed;Production TLS enforcement;Ensures secure email transmission
;;;;;
;;;;;
USER EXPERIENCE IMPROVEMENTS;;;;;
No;Enhancement;Description;Implementation;User Value;
1;Visual Attempt Counter;Display remaining login attempts;Amber warning banner (3 2 1);Reduces confusion about locked accounts;
2;Lockout Countdown Timer;Show real-time countdown when locked;Red banner with MM:SS format;Users know exactly when to retry;
3;Persistent Login State;Remember state across page refresh;Browser localStorage storage;Prevents loss of security context;
4;Disabled Input During Lockout;Disable fields while account locked;Grayed-out fields + timer button;Prevents frustration from failed submits;
5;Enhanced Error Messages;Provide specific error codes;ACCOUNT_LOCKED / RATE_LIMIT_EXCEEDED / INVALID_CREDENTIALS;Users understand what went wrong;
;;;;;
;;;;;
INFRASTRUCTURE IMPROVEMENTS;;;;;
No;Improvement;Description;Changes;Benefit;
1;Environment Variable Validation;Strict runtime validation for critical vars;Production throws errors / Dev shows warnings;Prevents production deployments with missing config;
2;Supabase Client Initialization;Resolve build-time and runtime issues;Dynamic per-request client creation;Eliminates build failures and stale connections;
3;Production Origin Configuration;Make origin configurable via env var;Use NEXT_PUBLIC_APP_URL;Simplifies deployment to different environments;
;;;;;
;;;;;
CRITICAL BUG FIXES;;;;;
No;Bug;Issue;Planned Fix;Impact;Routes Affected
1;False Create User Error;User created but API returns error;Add fallback verification query;Eliminates confusing error messages;/api/users
2;Missing Supabase Client;API routes reference undefined client;Initialize client in each route;Prevents runtime errors;5 routes (see below)
3;AuthContext Error Handling;Login errors lack detail;Return structured LoginResult object;Enables enhanced UX features;/api/auth/login
;;;;;
Routes Fixed for Bug #2:;;;;;
;/api/call-logs/[id]/route.ts;DELETE handler;;;
;/api/clients/search/route.ts;GET handler;;;
;/api/notifications/[id]/route.ts;DELETE handler;;;
;/api/notifications/route.ts;PUT and DELETE handlers;;;
;/api/statistics/route.ts;POST handler;;;
;;;;;
;;;;;
API CHANGES;;;;;
Endpoint;Status Code;Response;Description;;
/api/auth/login;200;{user token};Successful authentication;;
/api/auth/login;401;{error code attemptsRemaining};Invalid credentials;;
/api/auth/login;429;{error code retryAfter};Account locked or rate limited;;
/api/debug/* /api/test/*;404;null;Debug/test endpoint in production;;
;;;;;
;;;;;
FILES TO MODIFY;;;;;
Category;File Path;Changes;Priority;;
Core Config;next.config.js;Production origin configuration;High;;
Core Config;src/lib/config.ts;Environment validation;High;;
Core Config;src/lib/supabase.ts;Client initialization improvements;High;;
Core Config;src/middleware.ts;Debug endpoint blocking and rate limits;High;;
Authentication;src/app/api/auth/login/route.ts;Enhanced security and notifications;High;;
Authentication;src/contexts/AuthContext.tsx;Improved error handling;High;;
Authentication;src/app/login/page.tsx;UX enhancements;High;;
Authentication;src/lib/auth.ts;Password validation;Medium;;
Email & Security;src/lib/emailService.ts;TLS hardening;High;;
User Management;src/app/api/users/route.ts;Password policy and email normalization;High;;
Bug Fix;src/app/api/call-logs/[id]/route.ts;Initialize Supabase client;High;;
Bug Fix;src/app/api/clients/search/route.ts;Initialize Supabase client;High;;
Bug Fix;src/app/api/notifications/[id]/route.ts;Initialize Supabase client;High;;
Bug Fix;src/app/api/notifications/route.ts;Initialize Supabase client;High;;
Bug Fix;src/app/api/statistics/route.ts;Initialize Supabase client;High;;
Debug Endpoints;src/app/api/debug/**/*.ts;Block in production (7 files);High;;
Test Endpoints;src/app/api/test/**/*.ts;Block in production (10 files);High;;
New File;SECURITY_BASELINE_ALL_PLATFORMS.md;Create new security documentation;High;;
;;;;;
TOTAL FILES;30+ files;;;;
;;;;;
;;;;;
BREAKING CHANGES;;;;;
No;Change;Impact;Mitigation Plan;;
1;Password Requirements;Users with passwords < 12 chars affected;"Existing passwords valid until next change; communicate via email";;
2;Stricter Login Lockout;Users locked after 3 attempts instead of 5;"Ensure timer clearly visible; prepare support team";;
3;Debug Endpoints Disabled;Dev/debug tools won't work in production;"Document alternative debugging; ensure proper logging";;
;;;;;
;;;;;
TESTING CHECKLIST;;;;;
Category;Test Case;Status;Notes;;
Security;Verify debug/test endpoints return 404 in production;? Pending;;;
Security;Test login lockout after 3 failed attempts;? Pending;;;
Security;Verify lockout timer counts down correctly;? Pending;;;
Security;Confirm admin notification emails sent on lockout;? Pending;;;
Security;Test password strength validation rejects weak passwords;? Pending;;;
Security;Verify email normalization (User@test vs user@test);? Pending;;;
Security;Confirm CORS blocks unauthorized origins;? Pending;;;
UX;Verify attempt counter displays after failed login;? Pending;;;
UX;Test lockout timer persists across page refresh;? Pending;;;
UX;Confirm input fields disabled during lockout;? Pending;;;
UX;Test localStorage state persistence;? Pending;;;
UX;Verify all error messages display correctly;? Pending;;;
UX;Test successful login clears security state;? Pending;;;
API;Verify user creation no longer returns false errors;? Pending;;;
API;Test all 5 fixed routes initialize Supabase correctly;? Pending;;;
API;Confirm rate limiting works as expected;? Pending;;;
API;Test CORS headers in production environment;? Pending;;;
API;Verify environment variable validation;? Pending;;;
Integration;Test complete login flow with correct credentials;? Pending;;;
Integration;Test complete login flow with 3 failed attempts;? Pending;;;
Integration;Test account unlock after timer expires;? Pending;;;
Integration;Test admin notification email delivery;? Pending;;;
Integration;Test user creation with new password requirements;? Pending;;;
;;;;;
;;;;;
DEPLOYMENT PLAN;;;;;
Phase;Day;Time;Activities;Status;
Phase 1: Development & Testing;Day 1;Morning;Implement security baseline doc, block endpoints, enhance login security, fix bugs;? Pending;
Phase 2: Testing & Validation;Day 1;Afternoon;Execute test plan, validate security, test UX, code review;? Pending;
Phase 3: Staging Deployment;Day 2;Morning;Deploy to staging, run smoke tests, security audit, get approval;? Pending;
Phase 4: Production Deployment;Day 2;Afternoon;Deploy to production, monitor errors, verify security, monitor notifications;? Pending;
Phase 5: Post-Deployment;Day 2;End of Day;Send user communication, update docs, brief support team, schedule review;? Pending;
;;;;;
;;;;;
SUCCESS METRICS;;;;;
Category;Metric;Target;Current;Status;
Security;Debug/test endpoints accessible in production;0;N/A;? Pending;
Security;Authentication requests using strict CORS;100%;N/A;? Pending;
Security;New passwords meeting 12-char complexity;100%;N/A;? Pending;
Security;Admin notifications sent within X seconds;< 30 sec;N/A;? Pending;
Security;Email addresses normalized consistently;100%;N/A;? Pending;
UX;Users see remaining attempts before lockout;100%;N/A;? Pending;
UX;Lockout timer accurate to within X second;< 1 sec;N/A;? Pending;
UX;Security state persists across refresh;100%;N/A;? Pending;
UX;Clear error messages for all failure scenarios;100%;N/A;? Pending;
UX;Reduced support tickets - login confusion;Decrease;N/A;? Pending;
Reliability;User creation success rate;> 99.9%;N/A;? Pending;
Reliability;Crashes from missing Supabase clients;0;N/A;? Pending;
Reliability;Production deployments with missing env vars;0;N/A;? Pending;
Reliability;API uptime;> 99.9%;N/A;? Pending;
;;;;;
;;;;;
EFFORT ESTIMATE;;;;;
Activity;Hours;Notes;;;
Development;8-10;Implementation of all features;;;
Testing;4-6;Complete test plan execution;;;
Documentation;2-3;Security baseline and internal docs;;;
Deployment;2-3;Staging and production deployment;;;
TOTAL;16-22 hours;Approximately 2 business days;;;
;;;;;
;;;;;
RISK ASSESSMENT;;;;;
Risk Type;Level;Description;Mitigation;;
Technical Risk;Low;Changes are well-scoped and tested;Thorough testing and code review;;
